Id,Name,Email,Address,Nationality,Category
1,Maria Iordanous,miordanou@mail.com,Athens,Greek,INDIVIDUAL
2,Dimitriou Dimitrios,ddimitriou@mail.com,Athens,Greek,INDIVIDUAL
3,Ioannis Ioannou,iioannou@mail.com,Athens,Greek,BUSINESS
4,Antonio Molinari,amolinari@mail.com,Milan,Italian,INDIVIDUAL
5,Frederico Rossi,frossi@mail.com,Milan,Italian,INDIVIDUAL
6,Mario Conti,mconti@mail.com,Rome,Italian,BUSINESS
7,Nathan Martin,nmartin@mail.com,Lyon,French,BUSINESS
8,Enzo Collin,ecollin@mail.com,Lyon,French,INDIVIDUAL
9,Frederic Michel,fmichel@mail.com,Athens,French,INDIVIDUAL
10,Periklis,p@mail.com,Athens,Greek,BUSINESS
11,Maria,m@gmail.com,Athens,Greek,BUSINESS
